drop_p,model,seed,precision,recall,f1,fpr,auroc,ap,n_test,n_test_mal,n_perturbed
1.0,XChainWatcher,2,0.9444444444444444,0.68,0.7906976744186046,0.001488095238095238,0.8392559523809525,0.6536999840586641,697,25,25
1.0,Graph2Vec,2,0.0,0.0,0.0,0.019345238095238096,0.8882738095238095,0.20882295425495642,697,25,25
1.0,GCN,2,0.0,0.0,0.0,0.0,0.925357142857143,0.7835739723051137,697,25,25
1.0,GraphSAGE,2,0.0,0.0,0.0,0.0,0.8783333333333334,0.6975901388494551,697,25,25
1.0,B-Sentry-critical,2,0.0,0.0,0.0,0.0,0.9308333333333333,0.6448253122137684,697,25,25
1.0,B-Sentry-tiered,2,0.46153846153846156,0.48,0.47058823529411764,0.020833333333333332,0.9308333333333333,0.6448253122137684,697,25,25
1.0,XChainWatcher,3,1.0,0.6,0.75,0.0,0.8,0.6143472022955524,697,25,25
1.0,Graph2Vec,3,0.1,0.04,0.05714285714285714,0.013392857142857142,0.9195238095238095,0.3046745543041897,697,25,25
1.0,GCN,3,0.0,0.0,0.0,0.0,0.9622619047619048,0.8791511597001848,697,25,25
1.0,GraphSAGE,3,0.0,0.0,0.0,0.0,0.9614880952380953,0.8303311765197836,697,25,25
1.0,B-Sentry-critical,3,1.0,0.04,0.07692307692307693,0.0,0.9426190476190476,0.6536844610867205,697,25,25
1.0,B-Sentry-tiered,3,0.5714285714285714,0.48,0.5217391304347826,0.013392857142857142,0.9426190476190476,0.6536844610867205,697,25,25
1.0,XChainWatcher,4,0.9230769230769231,0.48,0.631578947368421,0.001488095238095238,0.7392559523809523,0.4617282860611412,697,25,25
1.0,Graph2Vec,4,0.0,0.0,0.0,0.01636904761904762,0.8236904761904761,0.17846721872357332,697,25,25
1.0,GCN,4,0.0,0.0,0.0,0.0,0.9169345238095238,0.5044774489870633,697,25,25
1.0,GraphSAGE,4,0.0,0.0,0.0,0.0,0.8583630952380953,0.5967025551127336,697,25,25
1.0,B-Sentry-critical,4,0.0,0.0,0.0,0.0,0.85875,0.4784044308210819,697,25,25
1.0,B-Sentry-tiered,4,0.4,0.32,0.35555555555555557,0.017857142857142856,0.85875,0.4784044308210819,697,25,25
1.0,XChainWatcher,5,1.0,0.56,0.717948717948718,0.0,0.78,0.5757819225251076,697,25,25
1.0,Graph2Vec,5,0.0,0.0,0.0,0.010416666666666666,0.5852380952380952,0.06318931930537647,697,25,25
1.0,GCN,5,0.0,0.0,0.0,0.0,0.9636309523809524,0.7955182513377395,697,25,25
1.0,GraphSAGE,5,0.0,0.0,0.0,0.0,0.9791071428571428,0.8696907448292626,697,25,25
1.0,B-Sentry-critical,5,0.0,0.0,0.0,0.0,0.6904761904761905,0.5759183346387373,697,25,25
1.0,B-Sentry-tiered,5,0.6111111111111112,0.44,0.5116279069767442,0.010416666666666666,0.6904761904761905,0.5759183346387373,697,25,25
